Country,Project,Main_fuel,Other_fuels,Location,Status,Capacity,Began_operations,Owner,Capital,CompanyHQ,Shareholders,Notes,Links,Latitude,Longitude,capacity_old,Fuel_test
Colombia,Termobarranquilla (Tebsa),Gas natural,,"Soledad, Atlántico",Activa,911,1980,Generadora y Comercializadora de Energía del Caribe S.A. (Gecelca),Mixto,Barranquilla,,,https://www.andeg.org/empresas-asociadas/termobarranquilla/,10.9437101,-74.7678502,911,Gas
Colombia,Termosierra,Gas natural,,"Puerto Nare, Antioquia",Activa,460,1998,Empresas Públicas de Medellín (EPM),Estatal,Medellín,,,,6.2360063,-74.5633551,460,Gas
Colombia,Termoflores,Gas natural,Diesel,"Barranquilla, Atlántico",Activa,610,"1993 (Flores I) y
 2011 (Flores IV)",Prime Energía Colombia S.A.S. y Prime Colombia Barranquilla S.A.S.,Privado,Barranquilla,"Subsidiarias de EnfraGen LLC, filial de Glenfarne Group LLC de Estados Unidos.","La compraron a Celsia, parte del Grupo Argos, en 2019.",https://www.andeg.org/empresas-asociadas/prime-energia/,11.025256,-74.8138094,610,Gas
Colombia,Termoemcali,Gas natural,Diesel,"Palmira, Valle del Cauca",Activa,229,1999,,Privado,Cali,"TE Holdings, a través de Maguro Contour Global y Fondo de Infraestructura Colombia Ashmore",Le compraron a Emcali en 2011.,https://www.andeg.org/empresas-asociadas/termoemcali/,3.5584034,-76.502449,229,Gas
Colombia,Termovalle,Gas natural,Diesel,"Palmira, Valle del Cauca",Activa,241,1998,Termovalle S.C.A.,Privado,,,,https://www.andeg.org/empresas-asociadas/termovalle/,3.5649758,-76.4554758,241,Gas
Colombia,Termocartagena (Tecsa),Gas natural,Diesel,"Cartagena, Bolívar",Activa,187,"1978 (Cartagena 1, 2 & 3)","Emgesa, parte del Grupo Enel",Privado,,,,,10.3555714,-75.5127376,187,Gas
Colombia,Meriléctrica,Gas natural,,"Barrancabermeja, Santander",Activa,169,1998,"Celsia, parte del Grupo Argos",Privado,,,,,7.054488,-73.8232558,169,Gas
Colombia,Termopaipa,Carbón,,"Paipa, Boyacá",Activa,178,"1963 (Paipa 1), 1975 (Paipa 2) y 1982 (Paipa 3)",Gestión Energética S.A. (Gensa),Estatal,Manizales,"Empresa de servicios públicos mixta, cuyo principal accionista es el Ministerio de Hacienda y Crédito Público (90,93%)",,https://www.andeg.org/empresas-asociadas/gensa/,5.7681018,-73.1490648,178,Carbón
Colombia,TermoGuajira,Carbón,Gas natural,"Dibulla, La Guajira",Activa,296,1983 (Guajira 1) & 1987 (Guajira 2),Generadora y Comercializadora de Energía del Caribe S.A. (Gecelca),Mixto,Barranquilla,,,https://www.andeg.org/empresas-asociadas/gecelca/,11.2618449,-73.4176666,296,Carbón
Colombia,Termobarranca,Gas natural,,"Barrancabermeja, Santander",Activa,167,1998,"Celsia, parte del Grupo Argos",Privado,Medellín,,,https://www.andeg.org/empresas-asociadas/celsia/,7.0901673,-73.8907863,167,Gas
